date,lokasi,status,text,time,tweet_id,username,provinsi,label
2020-03-12,Jakarta Selatan DKI Jakarta,200,Sekolah Favorit dan Masalah Zonasi https://is.gd/TsQgqZ #humaniora,20:50:45,1238205814633984000,@NgertiHukumID,DKI JAKARTA,3
2020-03-12,Depok Jawa Barat,200,Bukan cma sekolah aja yg zonasi mas hubungan juga,12:29:01,1238079547104346113,@luvwxyz_,JAWA BARAT,3
2020-03-11,Magelang Jawa Tengah,200,Gausah ada zonasi zonasi ngapa kan yg jauh dari SMA jadi ga dapet sekolah,13:37:58,1237734511934189568,@finaidsss,JAWA TENGAH,3
2020-03-11,Sukoharjo Indonesia,200,"Dengan adanya sistem zonasi di daerah Jawa Tengah, menurunkan minat belajar siswa. Karena siswa yg rumahnya di dekat sekolah favorit sudah pasti diterima tanpa harus belajar keras. Tak adakah evaluasi dari sistem ini? #NadiemMenjawab",13:28:35,1237732151367323649,@AnaNovia3,JAWA TENGAH,2
2020-03-11,Jepara - Jogjakarta ,200,Saiki wes zonasi. Sekolahe cerak2 ra perlu bus sekolah.,13:02:45,1237725650967875588,@thisischui,JAWA TENGAH,3
2020-03-11,Bekasi West java. Indonesia. ,200,Gua setuju sistem sekolah ZONASI hanya untuk sekolah biasa aja. Buat yang sekolah unggulan/favorit. Harusnya tetap menjadi seperti itu. Persaingan harus tetap hidup.,00:19:20,1237533531745607680,@akbartriansyah,JAWA BARAT,1
2020-03-10,Purworejo Indonesia,200,"Hari ini ""Ngukur Dalan"" dari Sekolah sampai desa2 disekitar Sekolah untuk Keperluan PPDB Zonasi..... . . . #PPDBSMAJateng2020",12:55:14,1237361371773145089,@FitriansyahArif,JAWA TENGAH,2
2020-03-10,Bandung Jawa Barat,200,Anggota DPRD Jabar Haru Suandharu: Sistim Zonasi Harus Adil Bagi Wilayah yang Belum Ada Sekolah Negeri ,08:52:08,1237300191020998661,@beritainspirat1,JAWA BARAT,2
2020-03-10,Kec.Cimanggis - Kota Depok,200,"Soal Zonasi Siswa, Ketua Fraksi PKS DPRD Jabar Minta Pemprov Siapkan Sekolah di Tiap Kecamatan https://editor.id/soal-zonasi-siswa-ketua-fraksi-pks-dprd-jabar-minta-pemprov-siapkan-sekolah-di-tiap-kecamatan/",08:03:02,1237287836178661378,@idaulat,JAWA BARAT,3
2020-03-09,Kota Surabaya Jawa Timur,200,"""Iya sih pinter, tapi gabisa masak, jarang bantu dirumah. Sekolah kok pake jauh segala sih, mana lesnya mahal"" Makan tuh zonasi, kerdil kan pemikiran lu",06:20:01,1236899524833988608,@Rez_fajar,JAWA TIMUR,2
2020-03-08,Pekanbaru Riau,200,"Tersebab Zonasi, Warga Kampung Baru Senapelan Susah Masukkan Anak ke Sekolah, Ginda: Kita Usahakan Ada SMP di Sini ",17:06:32,1236699837187252224,@GoRiauCom,RIAU,2
2020-03-08,Yogyakarta Indonesia,200,"Buat masuk sma, karena kalo lewat zonasi jauh dari sekolah fav:""""""""",12:50:58,1236635520341438464,@studsiuous,DI YOGYAKARTA,3
2020-03-08,magetanjawa timur,200,ekspetasi : SMA impian realita : SMA zonasi asal asalan yg penting sekolah,00:33:32,1236449940492058624,@haeealyy,JAWA TIMUR,2
2020-03-06,Yogyakarta Indonesia,200,Sekolah sekarang ada zonasi om. ,01:19:28,1235736725617405953,@jamalrais_,DI YOGYAKARTA,3
2020-03-04,Bandar Lampung,200,"Penerimaan Siswa Baru 2020 Tetap Akan Gunakan Sistem Zonasi http://bit.ly/2VHZjA3 , tidak usah risau untuk ortu calon pendaftar murid tk, sd swasta, tetap bisa memilih sekolah terbaik yang paling disukai atau didambakan.",00:13:24,1234995321018576896,@sdf2bdl,LAMPUNG,3
