date,lokasi,status,text,time,tweet_id,username,provinsi,label_1,label_2,label_3,label_4,label fix
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,01:10,1090673509301252096,@yusuf_rizqi,JAWA BARAT,3,3,3,2,3
2019-01-30,Rawalo Banyumas,200,Zonasi untuk siapa? Kalau untuk guru sangat setuju  tp kl untuk siswa di lihat dulu  jangan 100% zonasi  terutama di daerah yg sekolah negrinya terbatas  tahun lalu peringkat 1 sekecamatan tidak bisa daftar di smp negri di kecamatannya karena rumahnya di luar zonasi  baiknya 50%,07:00,1090399300700463105,@unggul_hp,JAWA TENGAH,3,3,3,3,3
2019-01-29,Tangerang Indonesia,200,Dinas Pendidikan Kota Tangerang kembali mengkaji sistem zonasi Penerimaan Peserta Didik Baru (PPDB) Sekolah Menengah Pertama Negeri (SMPN) untuk tahun ajaran 2019/2020.  Pasalnya â€¦ https://www.instagram.com/p/BtNhRudHBUQ/?utm_source=ig_twitter_share&igshid=1ob8re9qnhgbj â€¦,15:10,1090160149916987392,@AboutTNG,BANTEN,3,3,3,3,3
2019-01-28,Jakarta Pusat DKI Jakarta,200,Sebagai bentuk layanan publik  seluruh sekolah yang dikelola pemerintah (sekolah negeri) harus memberikan layanan kualitas yang sama tanpa diskriminasi.Salah satunya melalui kebijakan zonasi dalam rangka pemerataaan kualitas pendidikan. Setujukah #SahabatItjen dgn sistem zonasi?,16:56,1089824440332910592,@Itjen_Kemdikbud,DKI JAKARTA,3,3,1,3,3
2019-01-22,Bandung,200,http://goo.gl/CMU7Ek  <CEK Akomodasi Sistem Zonasi PPDB 2019  Pemkot Bekasi Akan Merger Sekolah -,08:10,1087517735637209088,@jawabarat_info,JAWA BARAT,1,3,3,3,3
2019-01-22,Klaten,200,[Tribun Jogja] Aturan Sistem Zonasi Wajib Diikuti Peningkatan Kualitas Sekolah http://dlvr.it/Qx9w3s,03:38,1087449278136541184,@kla10_,JAWA TENGAH,3,3,1,3,3
2019-01-22,Yogyakarta,200,Aturan Sistem Zonasi Wajib Diikuti Peningkatan Kualitas Sekolah http://dlvr.it/Qx9R7R,01:06,1087411146418581504,@InfoSeJogja,DI YOGYAKARTA,3,3,3,3,3
2019-01-21,Bandung,200,http://goo.gl/CMU7Ek  <CEK Kuota Jalur Zonasi PPDB 2019 Jadi 90 Persen  Disdik Kota Bekasi Terkendala Pemerataan Sekolahâ€¦,21:46,1087360823717187584,@jawabarat_info,JAWA BARAT,3,3,3,3,3
2019-01-21,Jl Jend Sudirman 52 Yogyakarta,200,PPDB 2019: Sekolah Tunggu Aturan Zonasi Disdikpora DIY http://j.mp/2R3UVoP,17:28,1087295849393242112,@tribunjogja,DI YOGYAKARTA,3,3,3,3,3
2019-01-21,Bintan Island Indonesia,200,Penerimaan murid baru didasarkan pada sistim zonasi  jarak rumah ke sekolah  bukan nilai Rapor atau UN.,00:31,1087040046056693760,@pmsitohang,KEPULAUAN RIAU,3,3,3,3,3
